#separator:tab
#html:true
What is a Machine Learning?	ML is a component of AI, it is producing knowledge from data, learning a function f: X--&gt;Y
<div><strong>Dropout Regularization</strong>:</div><ul><br></ul>	<ul><li>Definition: Technique used to prevent overfitting in neural networks by randomly dropping a fraction of neurons (along with their connections) during training.</li><li>Purpose: Forces the network to learn more robust features and reduces co-dependency among neurons.</li><li>Implementation: Applied during training phase only, with dropout probability typically set between 0.2 and 0.5.</li></ul>
<ul><div><strong>Activation Functions</strong>:</div><ul><br></ul></ul>	<ul><li>Definition: Mathematical functions applied to the output of neurons in a neural network to introduce non-linearity and enable the network to learn complex relationships.</li><li>Common Types: ReLU (Rectified Linear Unit), Sigmoid, Tanh (Hyperbolic Tangent), Softmax.</li><li>Selection Criteria: Determined based on the nature of the problem, network architecture, and computational considerations.</li></ul>
<div><div><strong>Convolutional Neural Networks (CNN)</strong>:</div></div>	<ul><li>Definition: A type of neural network designed for processing structured grid data, such as images or audio signals, by using convolutional layers.</li><li>Components: Convolutional stage, Detector stage, Pooling stage.</li><li>Purpose: Effective in capturing spatial hierarchies of features and handling translation-invariant inputs.</li></ul>
<div><strong>Convolutional Stage</strong>:</div><ul><br></ul>	<ul><li>Definition: The initial stage in a CNN where convolutional filters are applied to input data to extract features.</li><li>Techniques: Utilizes sparse connectivity and parameter sharing to improve performance and reduce overfitting.</li><li>Operation: Applies convolutional filters over input data to produce feature maps.</li></ul>
<div>Detector Stage:</div><br>	<ul><li>Definition: The stage in a CNN following the convolutional stage where non-linear transformations are applied to the output of convolutional layers.</li><li>Activation Functions: Commonly used functions include ReLU (Rectified Linear Unit) or tanh (Hyperbolic Tangent).</li><li>Purpose: Introduces non-linearity and enhances the network's ability to capture complex patterns.</li></ul>
<div>Pooling Stage:</div><br>	<ul><li>Definition: The stage in a CNN where pooling operations are applied to feature maps to downsample the data and introduce invariance to small transformations.</li><li>Operation: Typically performs operations like max pooling or average pooling over local regions of the input.</li><li>Purpose: Reduces the spatial dimensions of the data while preserving important features.</li></ul>
<div><div>Pooling Operation:</div><br></div>	<ul><li>Definition: A fixed operation applied to feature maps in the pooling stage of a CNN to downsample the data and introduce spatial invariance.</li><li>Types: Includes operations like max pooling and average pooling, where the maximum or average value within local regions is retained.</li><li>Purpose: Helps reduce computational complexity, prevents overfitting, and introduces translational invariance to small shifts in input data.</li></ul>
<div><div><strong>Parameter Sharing</strong>:<br></div></div>	<ul><li>Definition: Technique used in convolutional layers of CNNs where the parameters (weights) of convolutional kernels are shared across different spatial locations in the input.</li><li>Benefits: Reduces the number of learnable parameters, promotes feature reuse, and enhances the generalization capability of the network.</li><li>Implementation: Achieved by constraining the weights of convolutional kernels to be identical across different locations.</li></ul>
<div>Sparse Connectivity:</div><br>	<ul><li>Definition: A property of convolutional layers in CNNs where only a subset of units in one layer are connected to units in the preceding layer.</li><li>Purpose: Reduces the computational cost and complexity of the network by focusing on relevant local features.</li><li>Implementation: Achieved by using smaller kernels compared to the input size, resulting in each output unit being influenced by a limited region of the input.</li></ul>
<div>Kernel Size Calculation:</div><br>	<ul><li>Formula: The size of the output feature map in a convolutional layer is calculated based on the size of the input feature map, the size of the kernel/filter, the stride, and the padding.</li><li>Calculation: Width = [(Width of Input + 2 * Padding - Width of Kernel) / Stride] + 1</li><li>Height: Similarly calculated using the height dimensions.</li><li>Depth: The depth (number of feature maps) remains unchanged unless explicitly altered by design.</li></ul>
<div>size of the output of convolutional layer, and parameters&nbsp;</div>	"<img src=""paste-27e04abbe24543b00ab0608a121b0f8a9a8695ee.jpg"">"
<strong>Unsupervised Learning</strong>:	<ul><li>Definition: A type of machine learning where the algorithm is trained on input data without explicit output labels.</li><li>Purpose: Used to discover patterns, clusters, or hidden structures within datasets.</li><li>Examples: Clustering, dimensionality reduction, anomaly detection.</li></ul>
<strong>K-means Algorithm</strong>:	<ul><li>Definition: An iterative clustering algorithm used to partition data into k clusters based on similarities.</li><li>Steps:<ol><li>Choose the number of clusters (k).</li><li>Initialize cluster centroids.</li><li>Assign each data point to the nearest centroid.</li><li>Update centroids based on the mean of points assigned to each cluster.</li><li>Repeat steps 3-4 until convergence.</li></ol></li><li>Limitations: Requires specifying the number of clusters beforehand, sensitive to initialization, and assumes spherical clusters.</li></ul>
<div>Gaussian Mixture Model (GMM):</div><br>	<ul><li>Definition: A probabilistic model that represents a mixture of several Gaussian distributions.</li><li>Components: Comprises k Gaussian distributions, each with its mean, covariance, and weight.</li><li>Probability Distribution: Obtained by summing the weighted Gaussian distributions.</li><li>Application: Often used in modeling complex data distributions where data points may belong to multiple clusters.</li></ul>
<strong>Expectation Maximization (EM) Algorithm</strong>:	<ul><li>Definition: An iterative optimization algorithm used to estimate the parameters of probabilistic models, such as GMMs.</li><li>Steps:<ol><li>E-step: Compute the posterior probability of each data point belonging to each cluster.</li><li>M-step: Update the parameters (mean, covariance, weight) of each Gaussian distribution based on the posterior probabilities.</li><li>Iterate between E-step and M-step until convergence.</li></ol></li><li>Considerations: More general than k-means as it estimates all parameters of the model, including covariance.</li></ul>
<strong>Convergence in EM Algorithm</strong>:	<ul><li>Challenge: EM is a greedy algorithm that may converge to local optima depending on initialization.</li><li>Initialization: The convergence behavior depends on the initial values of parameters.</li><li>Strategies: Multiple random initializations, heuristic initialization methods, or using alternative optimization techniques.</li></ul>
Clustering:	<ul><li>Definition: The process of grouping similar data points together based on their intrinsic characteristics.</li><li>Objective: To identify natural groupings or clusters within a dataset without prior knowledge of class labels.</li><li>Applications: Market segmentation, image segmentation, social network analysis.</li></ul>
<strong>Dimensionality Reduction</strong>:	<ul><li>Definition: The process of reducing the number of features or variables in a dataset while retaining the essential information.</li><li>Techniques: Principal Component Analysis (PCA), t-distributed Stochastic Neighbor Embedding (t-SNE), Autoencoders.</li><li>Benefits: Helps in visualization, reduces computational complexity, mitigates the curse of dimensionality.</li></ul>
<strong>Anomaly Detection</strong>:	<ul><li>Definition: The identification of observations that deviate significantly from the majority of the data, often indicating unusual behavior or events.</li><li>Methods: Statistical approaches, machine learning algorithms (e.g., Isolation Forest, One-Class SVM).</li><li>Use Cases: Fraud detection, network security, predictive maintenance.</li></ul>
<strong>Self-Organizing Maps (SOM)</strong>:	<ul><li>Definition: An unsupervised learning technique that maps high-dimensional data onto a low-dimensional grid, preserving the topological relationships between data points.</li><li>Structure: Consists of a grid of nodes or neurons arranged in a lattice structure.</li><li>Training: Iteratively adjusts the weights of neurons to minimize the difference between input data and weight vectors.</li></ul>
<strong>Density Estimation</strong>:	<ul><li>Definition: The process of estimating the probability density function of a dataset.</li><li>Methods: Kernel Density Estimation (KDE), Gaussian Kernel Estimation, Histogram-based methods.</li><li>Applications: Anomaly detection, generative modeling, data visualization.</li></ul>
<strong>Dimensionality Reduction</strong>:	<ul><li>Definition: The process of reducing the number of random variables under consideration while preserving the essential structure and variability of the data.</li><li>Types: Feature selection and feature extraction.</li><li>Purpose: To simplify analysis, improve computational efficiency, and enhance visualization.</li></ul>
<strong>Principal Component Analysis (PCA)</strong>:	"<ul><li>Definition: A statistical technique used for dimensionality reduction, data compression, and feature extraction.</li><li>Procedure:<ul><li>Compute the covariance matrix <span style=""font-style: italic;"">S</span> of the data.</li><li>Calculate the eigenvectors and eigenvalues of <span style=""font-style: italic;"">S</span>.</li><li>Select the eigenvectors corresponding to the largest eigenvalues (principal components).</li><li>Project the data onto the principal components to obtain a lower-dimensional representation.</li></ul></li><li>Objective: To maximize the variance of the data in the lower-dimensional space.</li><li>Formula (Projection onto principal components): Projection=<span style=""font-weight: 700;"">u</span><sub><span style=""font-style: italic;"">i</span></sub><span style=""font-style: italic;"">T</span>​<span style=""font-weight: 700;"">x</span>, where <span style=""font-weight: 700;"">u</span><sub><span style=""font-style: italic;"">i</span>​</sub> is the <span style=""font-style: italic;"">i</span>-th eigenvector.</li></ul>"
<div>Covariance Matrix:</div><br>	[latex]\begin{itemize}<br>&nbsp;&nbsp;&nbsp; \item \textbf{Definition}: A matrix that summarizes the pairwise covariances of the variables in a dataset.<br>&nbsp;&nbsp;&nbsp; \item \textbf{Formula}: $S = \frac{1}{n} \sum_{i=1}^{n} (\mathbf{x}_i - \boldsymbol{\mu})(\mathbf{x}_i - \boldsymbol{\mu})^T$, where $\boldsymbol{\mu}$ is the mean vector.<br>\end{itemize}[/latex]
<strong>Autoencoders</strong>:	<ul><li>Definition: Neural networks with hidden layers smaller in size than other layers, often used for non-linear dimensionality reduction and data compression.</li><li>Structure: Consists of an encoder and a decoder, with a bottleneck layer representing the compressed representation of the input.</li><li>Objective: To learn a compact representation of the input data in the bottleneck layer.</li></ul>
<strong>Eigenvalues and Eigenvectors</strong>:	"<ul><li>Definition: Eigenvalues represent the scaling factor of the eigenvectors in a linear transformation.</li><li>Formula: <span style=""font-style: italic;"">S</span><span style=""font-weight: 700;"">u</span>=<span style=""font-style: italic;"">λ</span><span style=""font-weight: 700;"">u</span>, where <span style=""font-style: italic;"">S</span> is the covariance matrix, <span style=""font-weight: 700;"">u</span> is the eigenvector, and <span style=""font-style: italic;"">λ</span> is the eigenvalue.</li></ul>"
<strong>Data Compression</strong>:	<ul><li>Definition: The process of reducing the amount of data needed to represent a dataset while preserving its essential information.</li><li>Techniques: PCA, autoencoders, Singular Value Decomposition (SVD).</li></ul>
<strong>Feature Selection vs. Feature Extraction</strong>:	<ul><li>Feature Selection: Selecting a subset of the original features based on their relevance to the task.</li><li>Feature Extraction: Transforming the original features into a lower-dimensional space, often using mathematical transformations or neural networks.</li></ul>
<strong>Voting:</strong>	<ul><li><strong>Description:</strong> Voting is a method of combining predictions from multiple models. Each model is trained independently on the same dataset, and their predictions are aggregated by taking a weighted average. This approach leverages the diversity among models to improve overall prediction accuracy.</li><li><strong>Example:</strong> Suppose we have three models trained to classify images. When presented with a new image, each model generates its prediction (e.g., cat, dog, or bird). The final prediction is obtained by averaging these individual predictions, giving more weight to the more reliable models.</li></ul>
How does the Mixture of Experts method dynamically adjust model contributions for better predictions?	<ul><li><strong>Description:</strong> In a mixture of experts approach, the weights used to combine predictions are determined dynamically based on the input instance. This allows different models to contribute more significantly to the final prediction in regions of the input space where they excel.</li><li><strong>Example:</strong> Consider a scenario where we have models specialized in recognizing different types of objects in images. The weight assigned to each model's prediction depends on the characteristics of the image being classified. For example, a model trained specifically to identify cars might be given more weight when analyzing images containing vehicles.</li></ul>
What's the technique that uses a meta-model to learn the best way to blend predictions from various models?	<ul><li><strong>Description:</strong> Stacking involves combining predictions from multiple models using a meta-model that learns to assign appropriate weights to each base model's output. Unlike traditional voting, the weights used in stacking are not predetermined but are learned adaptively.</li><li><strong>Example:</strong> Let's say we have several models trained to predict stock prices based on different features. Instead of simply averaging their predictions, a meta-model is trained on the outputs of these models to determine the optimal combination strategy. This allows for more nuanced adjustments to be made based on the performance of each base model.</li></ul>
How does the Cascading approach determine predictions by consulting models sequentially?	<ul><li><strong>Description:</strong> Cascading is a sequential approach to combining predictions, where models are queried one after the other. The final prediction is determined by the model with the highest confidence level, based on a predefined sequence.</li><li><strong>Example:</strong> In a cascading approach to image classification, models may be arranged in order of their reliability or specificity. When presented with an image, the first model in the sequence makes a prediction. If its confidence exceeds a certain threshold, its prediction is accepted; otherwise, the next model in line is consulted until a confident prediction is obtained.</li></ul>
What's the term for training multiple models on random subsets of data and combining their predictions?	<ul><li><strong>Description:</strong> Bagging involves training multiple models on different subsets of the dataset, obtained through random sampling with replacement. The final prediction is obtained by averaging the predictions of all models, reducing the variance and improving generalization.</li><li><strong>Example:</strong> Imagine training several decision tree models on bootstrapped samples of a dataset containing patient data. By aggregating the predictions of these models, we can obtain a more robust diagnosis for new patients, reducing the impact of individual model biases or errors.</li></ul>
What's the method that iteratively trains models, focusing on correcting errors made by previous ones?	"<ul><li><strong>Description:</strong> Boosting is a sequential learning technique where models are trained iteratively, with each subsequent model focusing on correcting the errors made by the previous ones. This approach often leads to high accuracy by emphasizing the ""hard"" examples that previous models struggled with.</li><li><strong>Example:</strong> In a boosting scenario for spam email detection, multiple weak classifiers may be trained sequentially. Each classifier focuses on identifying misclassified emails from the previous rounds, gradually improving the overall accuracy of the ensemble.</li></ul>"
What boosting algorithm adjusts sample weights to prioritize previously misclassified examples?	<ul><li><strong>Description:</strong> AdaBoost is a popular boosting algorithm where models are trained sequentially, and the weights of misclassified samples are adjusted at each iteration. This adaptive approach allows subsequent models to focus more on the examples that were previously misclassified, leading to improved overall performance.</li><li><strong>Example:</strong> Suppose we have a dataset with handwritten digit images and their corresponding labels. In AdaBoost, each weak learner may focus on a different subset of the dataset, with more emphasis placed on the samples that were misclassified by earlier models. This iterative process results in a strong ensemble model capable of accurately classifying handwritten digits.</li></ul>
<div><div>I have D-dimensional data with K components. How many parameters if I use a model with full covariance matrices? and How many if I use diaogonal covariance matrices?<br></div></div>	<div>For each Gaussian you have:<br>1. A Symmetric full&nbsp;<em>DxD</em>&nbsp;covariance matrix giving&nbsp;<code>(D*D - D)/2 + D</code>&nbsp;parameters (<code>(D*D - D)/2</code>&nbsp;is the number of off-diagonal elements and&nbsp;<code>D</code>&nbsp;is the number of diagonal elements)<br>2. A&nbsp;<em>D</em>&nbsp;dimensional mean vector giving&nbsp;<code>D</code>&nbsp;parameters<br>3. A mixing weight giving another parameter</div><div>This results in&nbsp;<code>Df = (D*D - D)/2 + 2D + 1</code>&nbsp;for each gaussian.<br>Given you have&nbsp;<em>K</em>&nbsp;components, you have&nbsp;<code>(K*Df)-1</code>&nbsp;parameters. Because the mixing weights must sum to 1, you only need to find K-1 of them. The Kth weight can be calculated by subtracting the sum of the (K-1) weights from 1.</div><div>In the diagonal case the covariance matrix parameters reduce to&nbsp;<code>D</code>, because of the abscence of off-diagonal elements.<br>Thus yielding&nbsp;<code>Df = 2D + 1</code>.</div>
